Repere;Annee;Centre;Jour;Ex1;Ex2;Ex3;Ex4;Ex5;Correction
21-NSIJ1AN1;2021;Amérique du nord;1;bases de données relationnelles et langage SQL;routage, processsus et systèmes sur puces;tableaux et programmation de base en Python;arbres binaires et algorithmes associés;notion de pile, de file et programmation de base en Python;10100
21-NSIJ1G11;2021;Etranger;1;programmation objet (code de César);structures de données (dictionnaires);arbres binaires de recherche;réseau;structure de données (piles);00100
21-NSIJ1ME1;2021;Métropole;1;abres binaires de recherche;gestion des processus, opérateurs booléens;base de données et langage SQL;algorithme de tri fusion et méthode diviser pour régner;réseaux et protocoles de routage;00000
21-NSIJ1ME2;2021;Métropole candidats libres;1;bases de données;notions de piles et programmation orienté objet;gestion des processus et protocoles de routage;algorithme et programmation en Python;manipulation de tableaux, récursivité, méthode "diviser pour régner";00000
21-NSIJ2G11;2021;Etranger;2;structures de données : piles;programmation python, tuples et liste;Conversion décimal/binaire, table de vérité, codages des caractères;Base de données;programmation Python : commande d'un bandeau de diodes à l'aide d'un raspberry;11111
21-NSIJ2ME1;2021;Métropole;2;abres et programmation orientée objet;base de données relationnelles;réseaux et protocoles de routage;gestion des processus et des ressources;structure de données linéaires;00010
21-NSIJ2ME2;2021;Métropole candidats libres;2;bases de données relationnelles et langage SQL;gestion des processus et des ressources par un système d'exploitation;arbres binaires de recherche et programmation orientée objet;programmation et récursivité;programmation;00000
21-NSIJ2ME3;2021;Métropole session de septembre;2;réseau, protocoles de communication et de routages;structure de données, langages et programmation;base de données;programmation orientée objet, langages et programmation;traitement de données en table (CSV), langages et programmation";00000
21-NSIJ2PO1;2021;Polynésie;2;algorithmique et programmation (algorithmes de tri);données en table, bases de données;arbres binaires de recherche et programmation orientée objet;routage, architecture matérielle;données en table, bases de données;10100
22-NSIJ1G11;2022;Etranger;1;structures de données (listes, p-uplets et dictionnaires);structures de données (files et la programmation objet en langage python);structures de données (dictionnaires);les bases de données;architecture matérielle des ordinateurs, les réseaux et sur les protocoles de routage;00000
22-NSIJ1ME1;2022;Métropole;1;structures de données;bases de données;représentations binaires et protocoles de routage;parcours des arbres binaires, diviser pour régner, récursivité;programmation orientée objet;11111
22-NSIJ1PO1;2022;Polynésie;1;programmation et récursivité;architecture matérielle, ordonnancement et expressions booléennes;base de données, modèle relationnel, langage SQL;structures de données, piles;algorithmique, algorithme sur les abres binaires;00000
22-NSIJ2G11;2022;Etranger;2;langages et programmation (récursivité);structure de données (dictionnaires);base de données;structures de données, programmation objet;architectures matérielles, systèmes d’exploitation et réseaux (protocoles de routage);00000
22-NSIJ2ME1;2022;Métropole;2;arbres binaires de recherche, la programmation orientée objet et la récursivité;structures de données;réseaux et protocoles de routage;base de données relationnelles et langage SQL;programmation objet et méthode diviser pour régner;11000
